 ,Frame,Label,X,Y,Area,Area Conv. Hull,Peri.,Peri. Conv. Hull,Feret,Min. Feret,Maximum inscriped circle diameter,Area equivalent circle diameter,Long Side Length MBR,Short Side Length MBR,Aspect Ratio,Area/Peri.,Circ.,Elong.,Convexity,Solidity,Num. of Holes,Thinnes Rt.,Contour Temp.,Orientation,Fract. Dim.,Fract. Dim. Goodness
171,1,171,1609.723,436.729,5577.901,5722.230,266.958,271.345,103.017,67.743,67.960,84.273,100.260,67.080,1.495,20.894,12.777,0.580,1,0.975,0,0.984,0.144,116.801,1.513,0.991
172,1,172,2589.646,418.039,3591.251,3684.641,206.480,210.253,70.955,63.625,59.998,67.620,67.016,64.103,1.045,17.393,11.872,0.291,1,0.975,0,1.000,0.148,144.693,1.468,0.948
173,1,173,151.512,432.409,6970.254,7216.463,310.862,317.078,124.066,73.534,74.172,94.206,119.890,74.286,1.614,22.422,13.864,0.660,1,0.966,0,0.906,0.151,10.498,1.598,0.993
174,1,174,837.245,426.986,3345.043,3472.392,205.152,211.534,75.195,58.003,57.689,65.261,67.016,58.275,1.150,16.305,12.582,0.479,1,0.963,0,0.999,0.166,112.639,1.442,0.950
175,1,175,2717.629,425.263,5314.712,5450.552,264.592,270.496,99.666,68.988,68.209,82.261,81.585,69.930,1.167,20.086,13.173,0.493,1,0.975,0,0.954,0.154,162.456,1.593,0.965
176,1,176,5636.181,454.523,7725.860,8023.008,325.816,325.772,117.998,90.298,83.437,99.181,93.830,89.950,1.043,23.712,13.740,0.356,1.000,0.963,0,0.915,0.072,89.712,1.565,0.994
177,1,177,43.053,457.740,6910.824,7072.133,299.441,302.678,111.334,72.844,75.758,93.804,110.723,72.844,1.520,23.079,12.975,0.582,1,0.977,0,0.969,0.133,95.480,1.587,0.992
178,1,178,4606.535,453.361,6732.535,6902.334,290.012,293.286,105.581,78.671,81.585,92.586,99.068,78.671,1.259,23.215,12.493,0.431,1,0.975,0,1.000,0.134,103.010,1.579,0.991
179,1,179,5070.548,466.823,9415.361,9754.959,357.797,361.803,128.338,95.225,94.865,109.490,103.017,96.858,1.064,26.315,13.597,0.358,1,0.965,0,0.924,0.134,118.155,1.596,0.996
180,1,180,5558.160,445.398,2105.509,2317.758,183.345,185.998,74.685,32.051,34.965,51.777,69.930,32.051,2.182,11.484,15.965,0.764,1,0.908,0,0.787,0.141,87.781,1.332,0.926
181,1,181,2532.018,460.484,4958.134,5178.873,254.580,257.217,89.761,65.179,65.153,79.454,86.632,64.499,1.343,19.476,13.072,0.537,1,0.957,0,0.961,0.132,78.298,1.588,0.966
182,1,182,4061.134,455.752,5501.492,5722.230,265.629,266.986,94.551,77.868,75.758,83.694,80.590,78.455,1.027,20.711,12.825,0.348,1,0.961,0,0.980,0.116,150.497,1.612,0.965
183,1,183,2434.772,450.185,3650.681,3752.561,210.676,215.902,79.583,54.805,57.394,68.178,72.844,55.361,1.316,17.328,12.158,0.542,1,0.973,0,1.000,0.158,167.181,1.473,0.965
184,1,184,3669.345,541.082,22039.926,22472.914,566.399,570.142,227.739,125.084,124.578,167.517,225.435,125.799,1.792,38.912,14.556,0.667,1,0.981,0,0.863,0.121,77.733,1.683,0.995
185,1,185,3468.900,501.193,24094.495,24705.772,598.881,600.056,239.513,135.794,132.888,175.152,232.243,134.317,1.729,40.233,14.885,0.635,1,0.975,0,0.844,0.100,151.219,1.705,0.997
186,1,186,1923.221,452.071,1545.172,1621.582,149.907,149.303,53.569,38.977,36.856,44.355,54.977,37.991,1.447,10.308,14.543,0.475,0.996,0.953,0,0.864,0.112,71.572,1.237,0.931
187,1,187,3862.476,470.085,3013.934,3115.814,200.000,203.469,80.009,48.214,46.983,61.947,78.184,48.231,1.621,15.070,13.272,0.619,1,0.967,0,0.947,0.146,108.168,1.417,0.966
188,1,188,4520.548,464.238,3591.251,3727.091,212.296,214.257,75.981,58.275,58.275,67.620,69.930,58.275,1.200,16.916,12.550,0.457,1,0.964,0,1.000,0.129,167.811,1.476,0.965
189,1,189,1009.042,457.059,2012.120,2097.019,159.627,162.280,59.429,37.879,40.793,50.615,58.275,37.879,1.538,12.605,12.664,0.619,1,0.960,0,0.992,0.145,3.078,1.315,0.934
